language,pattern,pat_complete,complete,stemmed,stemComplete,english,en_stemmed
sv,renew,renewable,förnybar,förnyb,förnybar,renewable,renew
sv,renew,renewable,förnybara,förnybar,förnybara,renewable,renew
sv,emiss,emissions,utsläppen,utsläpp,utsläppen,emissions,emiss
sv,emiss,emissions,utsläpp,utsläpp,utsläppen,emissions,emiss
sv,climat,climate,klimatsmarta,klimatsmart,klimatsmarta,climatesmart,climatesmart
sv,climat,climate,klimatpåverkan,klimatpåverkan,klimatpåverkan,climate influences,climate influ
sv,climat,climate,klimatförändringarna,klimatförändring,klimatförändringarna,climate change,climate chang
sv,climat,climate,klimatpolitik,klimatpolitik,klimatpolitik,climate policy,climate polici
sv,climat,climate,klimatet,klimatet,klimatet,the climate,the clim
sv,climat,climate,klimatutsläppen,klimatutsläpp,klimatutsläpp,climate emissions,climate emiss
sv,climat,climate,klimatutsläpp,klimatutsläpp,klimatutsläpp,climate emissions,climate emiss
sv,climat,climate,klimatsmart,klimatsmart,klimatsmarta,climatesmart,climatesmart
sv,climat,climate,klimathotet,klimathotet,klimathotet,climate threat,climate threat
sv,climat,climate,klimatförändringar,klimatförändring,klimatförändringarna,climate change,climate chang
sv,climat,climate,klimat,klim,klimat,climate,climat
sv,climat,climate,klimat-,klimat-,klimat-,climate-,climate-
sv,climat,climate,klimatförändringarnas,klimatförändring,klimatförändringarna,climate change,climate chang
sv,climat,climate,klimatpolitiken,klimatpolitik,klimatpolitik,climate policy,climate polici
sv,climat,climate,klimatförändring,klimatförändring,klimatförändringarna,climate change,climate chang
sv,climat,climate,klimatförändringen,klimatförändring,klimatförändringarna,climate change,climate chang
sv,climat,climate,klimatmål,klimatmål,klimatmålen,climate goals,climate go
sv,climat,climate,klimatmålen,klimatmål,klimatmålen,climate goals,climate go
sv,greenhous,greenhouse,NA,NA,NA,NA,NA
sv,co2,co2,NA,NA,NA,NA,NA
sv,carbon,carbon,koldioxid,koldioxid,koldioxid,carbon dioxide,carbon dioxid
sv,carbon,carbon,koldioxidutsläpp,koldioxidutsläpp,koldioxidutsläpp,carbon dioxide emissions,carbon dioxide emiss
sv,carbon,carbon,koldioxidutsläppen,koldioxidutsläpp,koldioxidutsläpp,carbon dioxide emissions,carbon dioxide emiss
sv,kyoto,kyoto,NA,NA,NA,NA,NA
sv,fossil,fossil,fossila,fossil,fossila,fossil,fossil
sv,fossil,fossil,fossil,fossil,fossila,fossil,fossil
no,renew,renewable,fornybar,fornyb,fornybar,renewable,renew
no,renew,renewable,fornybare,fornybar,fornybare,renewable,renew
no,emiss,emissions,utslipp,utslipp,utslipp,emissions,emiss
no,emiss,emissions,utslippene,utslipp,utslipp,emissions,emiss
no,emiss,emissions,utslippet,utslipp,utslipp,emissions,emiss
